iter	Passed	Remaining
0	60	60825
1	61	30561
2	61	20460
3	61	15412
4	62	12375
5	62	10353
6	62	8901
7	63	7825
8	63	6986
9	63	6310
10	64	5762
11	64	5301
12	64	4910
13	65	4585
14	65	4294
15	65	4042
16	66	3819
17	66	3621
18	66	3441
19	66	3281
20	67	3134
21	67	3001
22	67	2879
23	68	2768
24	68	2665
25	68	2570
26	68	2481
27	69	2401
28	69	2328
29	69	2258
30	70	2193
31	70	2133
32	70	2075
33	71	2023
34	71	1973
35	71	1923
36	72	1876
37	72	1832
38	72	1789
39	72	1750
40	73	1712
41	73	1678
42	73	1645
43	74	1614
44	74	1583
45	74	1553
46	75	1524
47	75	1498
48	75	1473
49	76	1449
50	76	1425
51	76	1403
52	77	1382
53	77	1361
54	78	1341
55	78	1322
56	78	1303
57	79	1285
58	79	1268
59	79	1251
60	80	1234
61	80	1218
62	80	1202
63	81	1187
64	81	1173
65	81	1157
66	82	1143
67	82	1127
68	82	1114
69	82	1100
70	83	1087
71	83	1075
72	83	1063
73	83	1050
74	84	1038
75	84	1027
76	84	1016
77	85	1005
78	85	994
79	85	984
80	85	974
81	86	965
82	86	955
83	86	945
84	86	935
85	87	926
86	87	916
87	87	907
88	87	899
89	88	891
90	88	883
91	88	876
92	89	869
93	89	862
94	89	855
95	90	848
96	90	842
97	90	836
98	91	829
99	91	822
100	91	817
101	91	809
102	92	802
103	92	796
104	92	791
105	93	785
106	93	779
107	93	773
108	93	768
109	94	762
110	94	756
111	94	751
112	95	746
113	95	741
114	95	735
115	95	729
116	96	724
117	96	720
118	96	714
119	96	710
120	97	706
121	97	701
122	97	695
123	97	691
124	98	687
125	98	683
126	98	679
127	98	674
128	99	669
129	99	665
130	99	661
131	100	658
132	100	654
133	100	650
134	101	647
135	101	643
136	101	640
137	101	635
138	102	632
139	102	629
140	102	627
141	103	624
142	103	621
143	104	618
144	104	615
145	104	612
146	105	609
147	105	606
148	105	602
149	105	599
150	106	596
151	106	593
152	106	589
153	106	586
154	107	584
155	107	581
156	107	578
157	108	575
158	108	573
159	108	570
160	108	567
161	109	564
162	109	561
163	109	558
164	109	556
165	110	553
166	110	550
167	110	548
168	110	545
169	111	543
170	111	541
171	111	538
172	112	536
173	112	533
174	112	531
175	112	528
176	113	526
177	113	524
178	113	522
179	114	520
180	114	517
181	114	514
182	114	512
183	115	510
184	115	508
185	115	507
186	116	504
187	116	502
188	116	500
189	116	498
190	117	496
191	117	494
192	117	492
193	118	490
194	118	488
195	118	486
196	118	484
197	119	483
198	119	481
199	119	478
200	119	476
201	120	475
202	120	473
203	120	471
204	121	469
205	121	467
206	121	465
207	121	463
208	122	462
209	122	460
210	122	459
211	123	458
212	123	456
213	124	455
214	124	453
215	124	452
216	124	450
217	125	448
218	125	446
219	125	444
220	125	443
221	126	442
222	126	440
223	126	439
224	127	437
225	127	436
226	127	434
227	127	433
228	128	431
229	128	430
230	128	428
231	129	427
232	129	425
233	129	424
234	129	423
235	130	421
236	130	419
237	130	418
238	130	416
239	131	415
240	131	414
241	131	412
242	132	411
243	132	409
244	132	408
245	133	407
246	133	406
247	133	405
248	133	403
249	134	402
250	134	401
251	134	400
252	135	398
253	135	397
254	135	396
255	135	395
256	136	393
257	136	392
258	136	391
259	137	390
260	137	388
261	137	387
262	137	386
263	138	385
264	138	384
265	138	382
266	138	381
267	139	380
268	139	379
269	139	377
270	140	376
271	140	375
272	140	374
273	140	373
274	141	372
275	141	371
276	141	370
277	142	369
278	142	368
279	142	367
280	143	366
281	143	364
282	143	363
283	143	362
284	144	361
285	144	360
286	144	359
287	144	358
288	145	357
289	145	356
290	145	355
291	146	354
292	146	353
293	146	351
294	146	350
295	147	349
296	147	348
297	147	348
298	148	347
299	148	346
300	148	345
301	149	344
302	149	343
303	149	342
304	149	341
305	150	340
306	150	339
307	150	338
308	151	337
309	151	336
310	151	335
311	151	334
312	152	334
313	152	333
314	152	332
315	153	331
316	153	331
317	153	330
318	154	329
319	154	328
320	154	327
321	155	326
322	155	325
323	155	324
324	155	323
325	156	322
326	156	321
327	156	321
328	157	320
329	157	319
330	157	318
331	157	317
332	158	316
333	158	315
334	158	314
335	158	313
336	159	313
337	159	312
338	159	311
339	159	310
340	160	309
341	160	308
342	160	307
343	160	306
344	161	305
345	161	305
346	161	304
347	161	303
348	162	302
349	162	301
350	162	300
351	162	299
352	163	298
353	163	298
354	163	297
355	163	296
356	164	295
357	164	294
358	164	294
359	165	293
360	165	292
361	165	291
362	165	291
363	166	290
364	166	289
365	166	288
366	167	288
367	167	287
368	167	286
369	168	286
370	168	285
371	168	284
372	169	284
373	169	283
374	169	282
375	170	282
376	170	281
377	170	281
378	171	280
379	172	280
380	172	280
381	172	279
382	172	278
383	173	277
384	173	277
385	173	276
386	174	275
387	174	275
388	174	274
389	174	273
390	175	272
391	175	272
392	175	271
393	176	270
394	176	270
395	176	269
396	176	268
397	177	268
398	177	267
399	177	266
400	177	265
401	178	265
402	178	264
403	178	263
404	178	262
405	179	262
406	179	261
