iter	Passed	Remaining
0	57	57674
1	58	28968
2	58	19421
3	58	14648
4	59	11814
5	59	9897
6	60	8522
7	60	7500
8	60	6697
9	61	6057
10	61	5550
11	62	5108
12	62	4734
13	62	4421
14	63	4144
15	63	3903
16	63	3687
17	64	3501
18	64	3338
19	65	3186
20	65	3044
21	65	2914
22	65	2798
23	66	2690
24	67	2620
25	67	2527
26	67	2440
27	67	2359
28	68	2285
29	68	2216
30	68	2153
31	69	2093
32	69	2040
33	69	1987
34	70	1935
35	70	1889
36	70	1842
37	71	1799
38	71	1759
39	71	1720
40	71	1683
41	72	1647
42	72	1615
43	72	1584
44	73	1554
45	73	1527
46	74	1500
47	74	1472
48	74	1448
49	75	1425
50	75	1401
51	75	1378
52	76	1357
53	76	1337
54	76	1317
55	76	1297
56	77	1280
57	77	1262
58	78	1244
59	78	1227
60	78	1211
61	79	1195
62	79	1179
63	79	1163
64	79	1149
65	80	1134
66	80	1120
67	80	1107
68	81	1094
69	81	1083
70	81	1071
71	82	1058
72	82	1047
73	82	1038
74	83	1027
75	83	1016
76	84	1007
77	84	997
78	84	986
79	85	978
80	85	968
81	85	957
82	85	946
83	85	936
84	86	927
85	86	918
86	86	911
87	87	902
88	87	894
89	87	887
90	88	879
91	88	872
92	88	864
93	88	857
94	89	850
95	89	844
96	89	837
97	90	831
98	90	824
99	91	819
100	91	813
101	91	806
102	91	801
103	92	795
104	92	789
105	92	783
106	93	778
107	93	773
108	93	767
109	94	762
110	94	758
111	95	753
112	95	748
113	95	744
114	96	739
115	96	734
116	96	729
117	96	724
118	97	719
119	97	716
120	98	712
121	98	707
122	98	702
123	98	698
124	99	694
125	99	689
126	99	685
127	100	681
128	100	678
129	100	674
130	101	671
131	101	668
132	102	665
133	102	661
134	102	657
135	102	654
136	103	650
137	103	647
138	103	643
139	104	639
140	104	636
141	104	632
142	104	629
143	105	625
144	105	622
145	105	619
146	106	616
147	106	613
148	106	610
149	107	608
150	107	605
151	108	603
152	108	599
153	108	596
154	108	593
155	109	590
156	109	588
157	109	585
158	110	583
159	110	580
160	110	576
161	110	573
162	111	571
163	111	568
164	111	566
165	112	563
166	112	561
167	112	558
168	113	556
169	113	554
170	113	551
171	114	549
172	114	546
173	114	544
174	114	541
175	115	539
176	115	537
177	115	535
178	116	533
179	116	530
180	116	528
181	117	526
182	117	524
183	117	521
184	117	519
185	118	517
186	118	515
187	118	513
188	119	511
189	119	509
190	119	508
191	120	505
192	120	503
193	120	502
194	121	500
195	121	498
196	121	496
197	121	494
198	122	492
199	122	490
200	122	488
201	123	486
202	123	484
203	123	483
204	124	481
205	124	480
206	125	478
207	125	477
208	125	475
209	125	473
210	126	471
211	126	470
212	126	468
213	127	467
214	127	465
215	127	463
216	128	461
217	128	460
218	128	458
219	129	457
220	129	455
221	129	454
222	129	452
223	130	451
224	130	449
225	130	447
226	131	446
227	131	444
228	131	443
229	132	441
230	132	440
231	132	438
232	132	437
233	133	436
234	133	434
235	133	433
236	134	431
237	134	430
238	134	428
239	134	427
240	135	425
241	135	424
242	135	422
243	136	421
244	136	420
245	136	418
246	137	417
247	137	416
248	137	415
249	138	414
250	138	413
251	138	412
252	139	410
253	139	409
254	139	408
255	140	407
256	140	406
257	140	405
258	141	403
259	141	402
260	141	401
261	142	400
262	142	399
263	142	398
264	143	397
265	143	395
266	143	394
267	144	393
268	144	391
269	144	390
270	144	389
271	145	388
272	145	387
273	145	386
274	146	385
275	146	384
276	146	383
277	147	382
278	147	380
279	147	379
280	147	378
281	148	377
282	148	376
283	149	375
284	149	374
285	149	373
286	150	372
287	150	371
288	150	370
289	150	369
290	151	368
291	151	367
292	151	366
293	152	365
294	152	364
295	152	363
296	153	362
297	153	361
298	153	360
299	154	359
300	154	358
301	154	357
302	155	356
303	155	355
304	155	354
305	156	354
306	156	353
307	156	352
308	157	351
309	157	350
310	157	349
311	158	348
312	158	347
313	158	346
314	159	345
315	159	344
316	159	343
317	159	342
318	160	342
319	160	341
320	160	340
321	161	339
322	161	338
323	161	337
324	162	336
325	162	336
326	162	335
327	163	334
328	163	333
329	163	332
330	164	331
331	164	330
332	164	330
333	165	329
334	165	328
335	165	327
336	165	326
337	166	325
338	166	324
339	166	323
340	167	323
341	167	322
342	167	321
343	168	320
344	168	319
345	168	318
346	168	317
347	169	317
348	169	316
349	170	315
350	170	315
351	170	314
